card_url,image_url,Адрес,От метро,"Цена, ₽","Цена за м², ₽",Комнат,Этаж,Этажность,Площадь,description,В ЖК,Количество,"Площадь, м²","Цена, млн. ₽","Цена за м², тыс. ₽"
https://www.cian.ru/sale/flat/311151291/,https://images.cdn-cian.ru/images/2348212554-4.jpg,"Москва, ЮЗАО, р-н Северное Бутово, м. Бульвар Дмитрия Донского, улица Грина, 40",Пешком,32000000.0,286738.0,5,4,13,111.6,"Номер лота: вт-0422904.
Продается просторная пятикомнатная квартира с качественным ремонтом!

Предлагается светлая и уютная пятикомнатная квартира с качественным ремонтом. Все комнаты изолированные, два совмещенных санузла добавляют комфорта. Две лоджии и прекрасный вид во двор и на тихую улицу создают атмосферу спокойствия и уюта.
Идеальное расположение: рядом метро, торговый центр, магазины, школы и детские сады - все в шаговой доступности. Квартира полностью готова к проживанию, в подъезде работает консьерж. 10 мин пешком до метро Бульвар Дмитрия Донского 
В дополнение, есть возможность приобрести два парковочных места в 5 минутах ходьбы от дома.
Свяжитесь с нами для получения более подробной информации и организации просмотра в любое удобное для вас время.
 Содействие в получении специальных условий и преференций по ипотеке. Купить 5-комнатную квартиру рядом с метро Бульвар Дмитрия Донского.",,,111.6,32.0,286.7
https://vidnoye.cian.ru/sale/flat/305821585/,https://images.cdn-cian.ru/images/2240631384-4.jpg,"Московская область, м. Бульвар Дмитрия Донского, Ленинский городской округ, пос. Битца, Южная Битца ЖК, бульвар Южный, 4",Транспортом,19000000.0,176909.0,5,20,20,107.4,"Id 45766. Продается 5 комнатная квартира на 20 этаже с красивым видом , с окнами на две стороны, застекленными  лоджиями, в ЖК комфорт класса Южная Битца. 

ЖК ""Южная Битца"" - современный проект класса комфорт. Расположен в 3-х км от МКАД между Варшавским и Симферопольским шоссе. К западу от комплекса расположены Бутовский лесопарк, ботанический сад ""Вилар"" и парк Битца с рекой и несколькими прудами. 13 корпусов переменной этажности (17-25 этажей) формируют отдельный микрорайон. Зоны отдыха, спорта и детских игр. Реализованы дворы без машин. Наземный и подземный паркинг.

Квартира имеет современную, продуманную и удобную планировку, большой коридор , кухня ,гостиная , три просторные отдельные комнаты: спальня с остекленным  балконом и детская , гостевой и три санузла.

В комплексе Развитая инфраструктура:
-сетевые магазины
-супермаркеты
-кафе
-аптеки
-пекарни и др. 
Проект микрорайона предусматривает строительство 4 детских садов и 2 школ. ( 1 школа и 2 сада построены и принимают детей) и проект  с подземным паркингом!

Свободная продажа
Показы в любое удобное для Вас время ! Продается 5-комнатная квартира рядом с метро Бульвар Дмитрия Донского.",ЖК «Южная Битца»,,107.4,19.0,176.9
https://www.cian.ru/sale/flat/306209260/,https://images.cdn-cian.ru/images/kvartira-moskva-bulvar-dmitriya-donskogo-2247451653-4.jpg,"Москва, ЮЗАО, р-н Северное Бутово, м. Бульвар Дмитрия Донского, бульвар Дмитрия Донского, 18/4",Пешком,33500000.0,301802.0,5,16,16,111.0,"Продается просторная 5-комнатная квартира в уютном районе!

Вас ждет:

• 4 спальни - простор для всей семьи!
• Просторная кухня и зал - идеальное место для семейных обедов и дружеских встреч.
• 2 ванные комнаты - комфорт и удобство для каждого члена семьи.
• 2 лоджии - с видом на парк и во двор, где вы сможете наслаждаться тишиной и свежестью.
• Лесопарк через дорогу - идеальное место для прогулок и отдыха.
• Рядом школы, садики, спортивные секции, продуктовые магазины, банк, метро, остановки - все необходимое в шаговой доступности!

Эта квартира - ваш шанс на комфортную и счастливую жизнь в зеленом районе с развитой инфраструктурой!
не подойдет для ипотеки 
по всем вопросам пишите в чат 5-комнатная квартира рядом с метро Бульвар Дмитрия Донского.",,,111.0,33.5,301.8
,,,,28166666.666666668,255149.66666666666,—,—,—,110.0,Средние значения,,3,110.0,28.2,255.1
,,,,32750000.0,294270.0,—,—,—,111.3,Средние значения,,2,111.3,32.8,294.3
,,,,19000000.0,176909.0,—,—,—,107.4,Средние значения,,1,107.4,19.0,176.9
,,,,19000000.0,176909.0,—,—,—,107.4,Средние значения,,1,107.4,19.0,176.9
,,,,32750000.0,294270.0,—,—,—,111.3,Средние значения,,2,111.3,32.8,294.3
